first_name,last_name,nickname,height,weight,reach,stance,wins,losses,draws,belt,profile_url,dob
George,Allen,,"6' 2""",205 lbs.,--,Open Stance,13,19,2,,http://ufcstats.com/fighter-details/1e13936d708bcff7,"Jan 13, 1967"
Arnold,Allen,Almighty,"5' 8""",145 lbs.,"70.0""",Southpaw,20,3,0,,http://ufcstats.com/fighter-details/040a74bb0a465c54,"Jan 22, 1994"
Brendan,Allen,All In,"6' 2""",185 lbs.,"75.0""",Orthodox,25,7,0,,http://ufcstats.com/fighter-details/2f181c0467965b98,"Dec 28, 1995"
Daniel,Allen,,"6' 0""",155 lbs.,"75.0""",Southpaw,5,0,0,,http://ufcstats.com/fighter-details/adf9a901308fb8e3,"Aug 10, 1992"
Ben,Alloway,Blanco,"5' 11""",170 lbs.,"76.0""",Orthodox,18,8,0,,http://ufcstats.com/fighter-details/c4fe2e9a06ea5bcb,"Feb 19, 1981"
Asu,Almabayev,Zulfikar,"5' 4""",125 lbs.,"65.0""",Orthodox,21,3,0,,http://ufcstats.com/fighter-details/8d3273573b85be09,"Jan 25, 1994"
Bekzat,Almakhan,The Turan Warrior,"5' 7""",135 lbs.,"68.0""",Orthodox,12,2,0,,http://ufcstats.com/fighter-details/a4dc0f2b95df4cc1,"Oct 08, 1997"
John Dave,Almanza,The Striker,"5' 7""",125 lbs.,"67.0""",Southpaw,6,1,0,,http://ufcstats.com/fighter-details/088aa1b19b2dc14a,"Mar 22, 2004"
Ricardo,Almeida,Big Dog,"6' 0""",170 lbs.,"74.0""",Orthodox,13,5,0,,http://ufcstats.com/fighter-details/91186547a7f3f758,"Nov 29, 1976"
Magno,Almeida,,"6' 0""",155 lbs.,--,,10,3,0,,http://ufcstats.com/fighter-details/d615d6a10a4704cd,"Jun 06, 1985"
Thomas,Almeida,Thominhas,"5' 7""",145 lbs.,"70.0""",Southpaw,22,5,0,,http://ufcstats.com/fighter-details/2b074403b7c6cdb4,"Jul 31, 1991"
Ericka,Almeida,,"5' 6""",115 lbs.,--,Orthodox,7,3,0,,http://ufcstats.com/fighter-details/67a992d4cff22466,"Mar 05, 1989"
Estefani,Almeida,,"5' 4""",125 lbs.,--,Orthodox,7,3,0,,http://ufcstats.com/fighter-details/f16ddfa31236efed,"Oct 17, 1988"
Jailton,Almeida,Malhadinho,"6' 3""",205 lbs.,"79.0""",Orthodox,22,3,0,,http://ufcstats.com/fighter-details/41e83a89929d1327,"Jun 26, 1991"
Lucas,Almeida,,"5' 11""",145 lbs.,"71.0""",Orthodox,15,4,0,,http://ufcstats.com/fighter-details/710f0f8c5d5c9d41,"Jan 31, 1991"
Cesar,Almeida,Cesinha,"6' 1""",185 lbs.,"74.0""",Orthodox,7,1,0,,http://ufcstats.com/fighter-details/64d47ef881a437a4,"Mar 28, 1988"
Mauricio,Alonso,,"6' 2""",170 lbs.,--,,13,7,0,,http://ufcstats.com/fighter-details/c6bf75775b278ed8,"Feb 27, 1980"
Sarah,Alpar,Too Sweet,"5' 4""",135 lbs.,"63.0""",Southpaw,9,6,0,,http://ufcstats.com/fighter-details/49b130de1da2e1bf,"Jun 01, 1991"
Ali,AlQaisi,The Royal Fighter,"5' 6""",135 lbs.,"68.0""",Orthodox,8,5,0,,http://ufcstats.com/fighter-details/e87a13e02c01331d,"Sep 23, 1990"
Rico,Altamirano,,"5' 10""",170 lbs.,--,,4,3,0,,http://ufcstats.com/fighter-details/c61b49cec6abd6b9,
Victor,Altamirano,El Magnifico,"5' 8""",125 lbs.,"70.0""",Switch,12,5,0,,http://ufcstats.com/fighter-details/dc7927cd622676a7,"Jan 23, 1991"
Mike,Altman,,"5' 10""",185 lbs.,--,Orthodox,1,4,0,,http://ufcstats.com/fighter-details/c11036da9162cb5f,
Patricia,Alujas,The Angel,"5' 4""",115 lbs.,"64.0""",Orthodox,9,3,0,,http://ufcstats.com/fighter-details/430c533614d45813,"May 08, 1996"
Sean,Alvarez,,"6' 0""",235 lbs.,--,Orthodox,4,3,0,,http://ufcstats.com/fighter-details/e741536153227386,"Jul 14, 1971"
Eddie,Alvarez,,"5' 9""",155 lbs.,"69.0""",Orthodox,29,6,0,,http://ufcstats.com/fighter-details/33a331684283900f,"Jan 11, 1984"
Jaime,Alvarez,,"5' 8""",125 lbs.,"69.0""",Orthodox,6,1,0,,http://ufcstats.com/fighter-details/4438482bd1d5a029,"Mar 08, 1988"
Joel,Alvarez,El Fenomeno,"6' 3""",155 lbs.,"77.0""",Orthodox,22,3,0,,http://ufcstats.com/fighter-details/58bbef3770bb2dfc,"Mar 02, 1993"
Thiago,Alves,Pitbull,"5' 9""",170 lbs.,"70.0""",Orthodox,23,15,0,,http://ufcstats.com/fighter-details/31ee470ef5dc8d7f,"Oct 03, 1983"
Anthony,Alves,,--,--,--,,1,4,0,,http://ufcstats.com/fighter-details/bd92cf5da5413d2a,
Amilcar,Alves,,"6' 0""",170 lbs.,--,Southpaw,15,12,0,,http://ufcstats.com/fighter-details/dc5a6b2fdb27e7dc,"Aug 08, 1988"
Warlley,Alves,,"5' 11""",185 lbs.,"72.0""",Orthodox,15,8,0,,http://ufcstats.com/fighter-details/d317a5e2b3f88c5f,"Jan 04, 1991"
Rafael,Alves,The Turn,"5' 8""",155 lbs.,"68.0""",Orthodox,20,12,0,,http://ufcstats.com/fighter-details/029afd138865d20a,"Nov 14, 1990"
Sam,Alvey,Smile'N,"6' 2""",185 lbs.,"75.0""",Southpaw,33,18,1,,http://ufcstats.com/fighter-details/d156513a19acf856,"May 06, 1986"
Mahamed,Aly,,--,205 lbs.,--,,4,0,0,,http://ufcstats.com/fighter-details/86c1441676af2c73,"Jan 11, 1994"
Andre,Amado,Dida,"6' 0""",154 lbs.,--,Orthodox,6,4,1,,http://ufcstats.com/fighter-details/20821819c401ced8,
Adlan,Amagov,Borz,"6' 2""",170 lbs.,"76.0""",Orthodox,14,2,1,,http://ufcstats.com/fighter-details/1e327b281ef6a745,"Oct 30, 1986"
Maiara,Amanajas dos Santos,,"5' 5""",115 lbs.,--,Southpaw,7,3,0,,http://ufcstats.com/fighter-details/247fbbfafea60bb1,"Jul 11, 1987"
Chris,Amarante,,--,185 lbs.,--,,2,0,0,,http://ufcstats.com/fighter-details/ee0b69e307c857e5,
Jimmy,Ambriz,The Titan,"6' 2""",315 lbs.,--,Southpaw,17,21,1,,http://ufcstats.com/fighter-details/c912f676692c353a,"Jan 26, 1970"
JJ,Ambrose,,"5' 10""",170 lbs.,--,Orthodox,28,7,0,,http://ufcstats.com/fighter-details/d562b12b8fe88336,
Alen,Amedovski,,"5' 10""",185 lbs.,"74.0""",Orthodox,8,4,0,,http://ufcstats.com/fighter-details/70fa1c64a2c439ef,"Apr 06, 1988"
Hyder,Amil,The Hurricane,"5' 9""",145 lbs.,"70.0""",Switch,11,1,0,,http://ufcstats.com/fighter-details/41cc71cbf210e0fe,"May 28, 1990"
Hamid,Amiri,The Storm,--,145 lbs.,--,,9,0,0,,http://ufcstats.com/fighter-details/6c40705cf6c0d7e2,"Jun 15, 2003"
Makwan,Amirkhani,Mr. Finland,"5' 10""",145 lbs.,"72.0""",Southpaw,17,9,0,,http://ufcstats.com/fighter-details/87a1dc546b1c5caf,"Nov 08, 1988"
Jaqueline,Amorim,,"5' 3""",115 lbs.,"68.0""",Orthodox,10,1,0,,http://ufcstats.com/fighter-details/bc7d1ad49fcb2d08,"Jun 24, 1995"
Bertrand,Amoussou,,"5' 8""",190 lbs.,--,Orthodox,1,1,0,,http://ufcstats.com/fighter-details/53adf5b845d91e4a,
Karl,Amoussou,The Psycho,"5' 11""",185 lbs.,--,Orthodox,27,7,2,,http://ufcstats.com/fighter-details/23a8c33869bf5392,"Nov 21, 1985"
Eryk,Anders,Ya Boi,"6' 1""",185 lbs.,"75.0""",Southpaw,17,8,0,,http://ufcstats.com/fighter-details/cad24459b28592ca,"Apr 21, 1987"
Matt,Andersen,,"6' 2""",230 lbs.,--,Southpaw,14,8,1,,http://ufcstats.com/fighter-details/8738eacd62e82a32,"May 29, 1971"
Andy,Anderson,The Hammer,"5' 6""",240 lbs.,--,,0,1,0,,http://ufcstats.com/fighter-details/9199e0735b83dd32,"Jul 16, 1974"
Lowell,Anderson,,"5' 6""",160 lbs.,--,Orthodox,0,1,0,,http://ufcstats.com/fighter-details/1ffc38f67785797b,
Corey,Anderson,Overtime,"6' 3""",205 lbs.,"79.0""",Orthodox,14,5,0,,http://ufcstats.com/fighter-details/5e4eec08896c9423,"Sep 22, 1989"
Derek,Anderson,Barbaric,"6' 0""",155 lbs.,--,,14,3,0,,http://ufcstats.com/fighter-details/19ba965651486013,"Feb 02, 1990"
Megan,Anderson,,"6' 0""",145 lbs.,"72.0""",Orthodox,11,5,0,,http://ufcstats.com/fighter-details/a0e75f4a13eb73f1,"Feb 11, 1990"
Liam,Anderson,,"6' 3""",185 lbs.,"75.0""",Orthodox,6,3,0,,http://ufcstats.com/fighter-details/b03a0c78ca45facf,"Jan 13, 1995"
Tatsuya,Ando,Kirinji,"5' 4""",145 lbs.,"68.0""",Southpaw,14,4,1,,http://ufcstats.com/fighter-details/17615148dd4be6f6,"Apr 26, 1990"
Alex,Andrade,El Toro,"5' 11""",200 lbs.,--,Orthodox,10,5,0,,http://ufcstats.com/fighter-details/1562b12763cc8d67,"May 14, 1974"
Jessica,Andrade,Bate Estaca,"5' 1""",115 lbs.,"62.0""",Orthodox,26,14,0,,http://ufcstats.com/fighter-details/6a1901c62ab3870f,"Sep 25, 1991"
Viscardi,Andrade,,"5' 11""",170 lbs.,"75.0""",Orthodox,19,6,0,,http://ufcstats.com/fighter-details/d221ee27afc7a60e,"Mar 08, 1984"
Jermaine,Andre,,"5' 7""",200 lbs.,--,Orthodox,14,4,0,,http://ufcstats.com/fighter-details/9bad58fa651d6196,
Juan,Andres Luna,,"5' 7""",125 lbs.,"72.0""",Orthodox,12,1,0,,http://ufcstats.com/fighter-details/1fd9f744105024a8,"Aug 20, 1995"
Fellipe,Andrew,,--,--,--,,0,0,0,,http://ufcstats.com/fighter-details/7977fb0fd9c5955d,"Oct 24, 1994"
Dylan,Andrews,The Villain,"6' 1""",185 lbs.,"74.0""",Switch,18,7,0,,http://ufcstats.com/fighter-details/00debc804e2b1cd4,"Nov 15, 1979"
Reese,Andy,Riptide,"6' 0""",205 lbs.,--,Orthodox,7,3,0,,http://ufcstats.com/fighter-details/46e2ca71fd5089cb,"Mar 31, 1973"
,Angga,The Hitman,"5' 7""",145 lbs.,"68.0""",Orthodox,13,3,0,,http://ufcstats.com/fighter-details/d6a3e131ad4ba064,"Jan 13, 1989"
Julius,Anglickas,,"6' 3""",205 lbs.,--,Orthodox,5,1,0,,http://ufcstats.com/fighter-details/e20ad078a7d63361,"Jul 23, 1991"
Collin,Anglin,,"5' 9""",145 lbs.,"71.0""",Orthodox,8,3,0,,http://ufcstats.com/fighter-details/047a91d3d9c79b05,"Feb 20, 1993"
Chad,Anheliger,The Monster,"5' 6""",135 lbs.,"64.0""",Orthodox,13,8,0,,http://ufcstats.com/fighter-details/c7c39e2fb70248b3,"Dec 01, 1986"
Yoji,Anjo,Mr. 200%,"5' 11""",205 lbs.,--,Orthodox,0,5,1,,http://ufcstats.com/fighter-details/e06fd1260ac865a7,"Mar 28, 1967"
Magomed,Ankalaev,,"6' 3""",205 lbs.,"75.0""",Orthodox,21,1,1,,http://ufcstats.com/fighter-details/d802174b0c0c1f4e,"Jun 02, 1992"
Gadzhimurad,Antigulov,,"5' 11""",205 lbs.,"70.0""",Orthodox,20,8,0,,http://ufcstats.com/fighter-details/af997f7611673880,"Feb 09, 1987"
Adam,Antolin,Captain Chaos,"5' 5""",125 lbs.,"63.0""",Orthodox,12,3,0,,http://ufcstats.com/fighter-details/25b31165758402dd,"Feb 28, 1982"
Angelo,Antonio,,--,205 lbs.,--,Orthodox,1,4,0,,http://ufcstats.com/fighter-details/dbd198f780286aca,
Vanilto,Antunes,,"6' 0""",170 lbs.,"72.0""",Orthodox,16,7,0,,http://ufcstats.com/fighter-details/cc49ada1ea955b13,"Dec 28, 1994"
Azunna,Anyanwu,Zulu,"6' 1""",251 lbs.,--,Orthodox,14,5,0,,http://ufcstats.com/fighter-details/78d48d3874dacafd,"Aug 05, 1981"
Shinsho,Anzai,Animal,"5' 7""",170 lbs.,"70.0""",Orthodox,10,3,0,,http://ufcstats.com/fighter-details/4665f9f909cd7214,"Dec 01, 1985"
Jin,Aoi,,"5' 6""",145 lbs.,"68.0""",Orthodox,14,6,1,,http://ufcstats.com/fighter-details/031da10a00c8ccd4,"Jan 21, 1997"
Shinya,Aoki,Tobikan Judan,"5' 11""",154 lbs.,--,Southpaw,39,7,0,,http://ufcstats.com/fighter-details/79ded75550efc139,"May 09, 1983"
,Aoriqileng,The Mongolian Murderer,"5' 7""",135 lbs.,"69.0""",Orthodox,25,12,0,,http://ufcstats.com/fighter-details/7d420039bbfe7c1a,"Jun 25, 1993"
Josh,Appelt,,"5' 10""",255 lbs.,--,Southpaw,15,7,0,,http://ufcstats.com/fighter-details/0c1a04afca64e38f,"Jun 19, 1983"
Erik,Apple,,"6' 0""",170 lbs.,--,Orthodox,10,3,0,,http://ufcstats.com/fighter-details/1ccff7f0cfdf85eb,"Aug 26, 1977"
Kenji,Arai,,"5' 10""",145 lbs.,--,Southpaw,15,15,5,,http://ufcstats.com/fighter-details/269d103c96a4c3a5,"Oct 05, 1979"
Romie,Aram,,"5' 10""",170 lbs.,--,Orthodox,7,1,0,,http://ufcstats.com/fighter-details/73ef22f25d0f70e2,"Dec 02, 1977"
Felipe,Arantes,Sertanejo,"5' 8""",135 lbs.,"73.0""",Orthodox,18,10,1,,http://ufcstats.com/fighter-details/71002dbc1743b9a7,"Feb 09, 1988"
Igor,Araujo,,"6' 1""",170 lbs.,"77.0""",Orthodox,25,9,0,,http://ufcstats.com/fighter-details/dbea8c1cb327ab3d,"Dec 06, 1980"
Viviane,Araujo,Vivi,"5' 4""",125 lbs.,"68.0""",Orthodox,13,7,0,,http://ufcstats.com/fighter-details/36541f1e6c5d4955,"Nov 21, 1986"
Julio,Arce,,"5' 7""",145 lbs.,"70.0""",Southpaw,19,6,0,,http://ufcstats.com/fighter-details/1291edf2d566a71a,"Oct 27, 1989"
